Threads,n = 10M,n = 20M,n = 40M
1,0.0324,0.0654,0.1318
4,0.23632,0.46982,0.93582
8,0.16268,0.3235,0.64402
16,0.13986,0.274,0.53418
32,0.12138,0.24176,0.49376
