

**************  RUNNING N = 32 THREADS WITH n = 40000000  **************

Process 2: Worker Time:  took  0.2422 seconds
Process 1: Worker Time:  took  0.2383 seconds
Process 4: Worker Time:  took  0.2793 seconds
Process 3: Worker Time:  took  0.2275 seconds
Process 7: Worker Time:  took  0.2686 seconds
Process 5: Worker Time:  took  0.2705 seconds
Process 8: Worker Time:  took  0.2964 seconds
Process 6: Worker Time:  took  0.2729 seconds
Process 10: Worker Time:  took  0.2788 seconds
Process 12: Worker Time:  took  0.2832 seconds
Process 11: Worker Time:  took  0.2764 seconds
Process 13: Worker Time:  took  0.2710 seconds
Process 14: Worker Time:  took  0.2739 seconds
Process 9: Worker Time:  took  0.2368 seconds
Process 15: Worker Time:  took  0.2476 seconds
Process 16: Worker Time:  took  0.3608 seconds
Process 17: Worker Time:  took  0.2749 seconds
Process 19: Worker Time:  took  0.2627 seconds
Process 18: Worker Time:  took  0.2783 seconds
Process 21: Worker Time:  took  0.2798 seconds
Process 22: Worker Time:  took  0.2832 seconds
Process 23: Worker Time:  took  0.2485 seconds
Process 25: Worker Time:  took  0.3159 seconds
Process 20: Worker Time:  took  0.2891 seconds
Process 26: Worker Time:  took  0.3242 seconds
Process 27: Worker Time:  took  0.3228 seconds
Process 29: Worker Time:  took  0.3198 seconds
Process 30: Worker Time:  took  0.3320 seconds
Process 28: Worker Time:  took  0.3369 seconds
Process 31: Worker Time:  took  0.3296 seconds
Process 0: Allocation   took  0.1323 seconds
Process 0: Conversion   took  0.2266 seconds
Process 1: Conversion   took  0.2383 seconds
Process 2: Conversion   took  0.2422 seconds
Process 3: Conversion   took  0.2275 seconds
Process 4: Conversion   took  0.2793 seconds
Process 5: Conversion   took  0.2705 seconds
Process 6: Conversion   took  0.2729 seconds
Process 7: Conversion   took  0.2686 seconds
Process 8: Conversion   took  0.2964 seconds
Process 9: Conversion   took  0.2368 seconds
Process 10: Conversion   took  0.2788 seconds
Process 11: Conversion   took  0.2764 seconds
Process 12: Conversion   took  0.2832 seconds
Process 13: Conversion   took  0.2710 seconds
Process 14: Conversion   took  0.2739 seconds
Process 15: Conversion   took  0.2476 seconds
Process 16: Conversion   took  0.3608 seconds
Process 17: Conversion   took  0.2749 seconds
Process 18: Conversion   took  0.2783 seconds
Process 19: Conversion   took  0.2627 seconds
Process 20: Conversion   took  0.2891 seconds
Process 21: Conversion   took  0.2798 seconds
Process 22: Conversion   took  0.2832 seconds
Process 23: Conversion   took  0.2485 seconds
Process 24: Conversion   took  0.3452 seconds
Process 25: Conversion   took  0.3159 seconds
Process 26: Conversion   took  0.3242 seconds
Process 27: Conversion   took  0.3228 seconds
Process 28: Conversion   took  0.3369 seconds
Process 29: Conversion   took  0.3198 seconds
Process 30: Conversion   took  0.3320 seconds
Process 31: Conversion   took  0.3296 seconds
Process 0: Sum of All   took  8.8672 seconds
Process 0: Conversion Time - Wall clock took  0.5347 seconds
Process 0: Deallocation took  0.0078 seconds
Result: 40000000 = 17276457 (0s) + 22723543 (1s)
Process 24: Worker Time:  took  0.3452 seconds


Process 1: Worker Time:  took  0.2446 seconds
Process 4: Worker Time:  took  0.2744 seconds
Process 2: Worker Time:  took  0.2476 seconds
Process 5: Worker Time:  took  0.2290 seconds
Process 3: Worker Time:  took  0.2305 seconds
Process 7: Worker Time:  took  0.2632 seconds
Process 8: Worker Time:  took  0.2910 seconds
Process 6: Worker Time:  took  0.2661 seconds
Process 10: Worker Time:  took  0.2734 seconds
Process 9: Worker Time:  took  0.2705 seconds
Process 11: Worker Time:  took  0.2686 seconds
Process 12: Worker Time:  took  0.2793 seconds
Process 15: Worker Time:  took  0.2397 seconds
Process 14: Worker Time:  took  0.2720 seconds
Process 16: Worker Time:  took  0.3652 seconds
Process 13: Worker Time:  took  0.2690 seconds
Process 18: Worker Time:  took  0.2769 seconds
Process 17: Worker Time:  took  0.2734 seconds
Process 19: Worker Time:  took  0.2529 seconds
Process 20: Worker Time:  took  0.3018 seconds
Process 22: Worker Time:  took  0.2944 seconds
Process 25: Worker Time:  took  0.3125 seconds
Process 23: Worker Time:  took  0.2920 seconds
Process 26: Worker Time:  took  0.3257 seconds
Process 21: Worker Time:  took  0.2559 seconds
Process 27: Worker Time:  took  0.3232 seconds
Process 30: Worker Time:  took  0.3354 seconds
Process 31: Worker Time:  took  0.3330 seconds
Process 24: Worker Time:  took  0.3477 seconds
Process 0: Allocation   took  0.1309 seconds
Process 0: Conversion   took  0.2324 seconds
Process 1: Conversion   took  0.2446 seconds
Process 2: Conversion   took  0.2476 seconds
Process 3: Conversion   took  0.2305 seconds
Process 4: Conversion   took  0.2744 seconds
Process 5: Conversion   took  0.2290 seconds
Process 6: Conversion   took  0.2661 seconds
Process 7: Conversion   took  0.2632 seconds
Process 8: Conversion   took  0.2910 seconds
Process 9: Conversion   took  0.2705 seconds
Process 10: Conversion   took  0.2734 seconds
Process 11: Conversion   took  0.2686 seconds
Process 12: Conversion   took  0.2793 seconds
Process 13: Conversion   took  0.2690 seconds
Process 14: Conversion   took  0.2720 seconds
Process 15: Conversion   took  0.2397 seconds
Process 16: Conversion   took  0.3652 seconds
Process 17: Conversion   took  0.2734 seconds
Process 18: Conversion   took  0.2769 seconds
Process 19: Conversion   took  0.2529 seconds
Process 20: Conversion   took  0.3018 seconds
Process 21: Conversion   took  0.2559 seconds
Process 22: Conversion   took  0.2944 seconds
Process 23: Conversion   took  0.2920 seconds
Process 24: Conversion   took  0.3477 seconds
Process 25: Conversion   took  0.3125 seconds
Process 26: Conversion   took  0.3257 seconds
Process 27: Conversion   took  0.3232 seconds
Process 28: Conversion   took  0.3394 seconds
Process 29: Conversion   took  0.3159 seconds
Process 30: Conversion   took  0.3354 seconds
Process 31: Conversion   took  0.3330 seconds
Process 0: Sum of All   took  8.8643 seconds
Process 0: Conversion Time - Wall clock took  0.5415 seconds
Process 0: Deallocation took  0.0073 seconds
Result: 40000000 = 17276457 (0s) + 22723543 (1s)
Process 28: Worker Time:  took  0.3394 seconds
Process 29: Worker Time:  took  0.3159 seconds


Process 3: Worker Time:  took  0.2368 seconds
Process 1: Worker Time:  took  0.2358 seconds
Process 2: Worker Time:  took  0.2397 seconds
Process 4: Worker Time:  took  0.2700 seconds
Process 6: Worker Time:  took  0.2637 seconds
Process 8: Worker Time:  took  0.2993 seconds
Process 5: Worker Time:  took  0.2354 seconds
Process 10: Worker Time:  took  0.2812 seconds
Process 7: Worker Time:  took  0.2607 seconds
Process 9: Worker Time:  took  0.2788 seconds
Process 12: Worker Time:  took  0.2866 seconds
Process 11: Worker Time:  took  0.2446 seconds
Process 13: Worker Time:  took  0.2700 seconds
Process 15: Worker Time:  took  0.2749 seconds
Process 17: Worker Time:  took  0.2734 seconds
Process 14: Worker Time:  took  0.2783 seconds
Process 18: Worker Time:  took  0.2866 seconds
Process 16: Worker Time:  took  0.3618 seconds
Process 19: Worker Time:  took  0.2827 seconds
Process 21: Worker Time:  took  0.2788 seconds
Process 23: Worker Time:  took  0.2573 seconds
Process 20: Worker Time:  took  0.2925 seconds
Process 22: Worker Time:  took  0.2822 seconds
Process 25: Worker Time:  took  0.3232 seconds
Process 27: Worker Time:  took  0.3159 seconds
Process 30: Worker Time:  took  0.3350 seconds
Process 28: Worker Time:  took  0.3389 seconds
Process 26: Worker Time:  took  0.3257 seconds
Process 24: Worker Time:  took  0.3467 seconds
Process 31: Worker Time:  took  0.3325 seconds
Process 0: Allocation   took  0.1304 seconds
Process 0: Conversion   took  0.2300 seconds
Process 1: Conversion   took  0.2358 seconds
Process 2: Conversion   took  0.2397 seconds
Process 3: Conversion   took  0.2368 seconds
Process 4: Conversion   took  0.2700 seconds
Process 5: Conversion   took  0.2354 seconds
Process 6: Conversion   took  0.2637 seconds
Process 7: Conversion   took  0.2607 seconds
Process 8: Conversion   took  0.2993 seconds
Process 9: Conversion   took  0.2788 seconds
Process 10: Conversion   took  0.2812 seconds
Process 11: Conversion   took  0.2446 seconds
Process 12: Conversion   took  0.2866 seconds
Process 13: Conversion   took  0.2700 seconds
Process 14: Conversion   took  0.2783 seconds
Process 15: Conversion   took  0.2749 seconds
Process 16: Conversion   took  0.3618 seconds
Process 17: Conversion   took  0.2734 seconds
Process 18: Conversion   took  0.2866 seconds
Process 19: Conversion   took  0.2827 seconds
Process 20: Conversion   took  0.2925 seconds
Process 21: Conversion   took  0.2788 seconds
Process 22: Conversion   took  0.2822 seconds
Process 23: Conversion   took  0.2573 seconds
Process 24: Conversion   took  0.3467 seconds
Process 25: Conversion   took  0.3232 seconds
Process 26: Conversion   took  0.3257 seconds
Process 27: Conversion   took  0.3159 seconds
Process 28: Conversion   took  0.3389 seconds
Process 29: Conversion   took  0.3237 seconds
Process 30: Conversion   took  0.3350 seconds
Process 31: Conversion   took  0.3325 seconds
Process 0: Sum of All   took  8.9131 seconds
Process 0: Conversion Time - Wall clock took  0.5386 seconds
Process 0: Deallocation took  0.0078 seconds
Result: 40000000 = 17276457 (0s) + 22723543 (1s)
Process 29: Worker Time:  took  0.3237 seconds


Process 2: Worker Time:  took  0.2407 seconds
Process 1: Worker Time:  took  0.2368 seconds
Process 4: Worker Time:  took  0.2788 seconds
Process 3: Worker Time:  took  0.2329 seconds
Process 6: Worker Time:  took  0.2734 seconds
Process 5: Worker Time:  took  0.2651 seconds
Process 10: Worker Time:  took  0.2681 seconds
Process 11: Worker Time:  took  0.2422 seconds
Process 7: Worker Time:  took  0.2700 seconds
Process 9: Worker Time:  took  0.2656 seconds
Process 8: Worker Time:  took  0.2993 seconds
Process 12: Worker Time:  took  0.2881 seconds
Process 13: Worker Time:  took  0.2734 seconds
Process 16: Worker Time:  took  0.3672 seconds
Process 15: Worker Time:  took  0.2773 seconds
Process 14: Worker Time:  took  0.2808 seconds
Process 17: Worker Time:  took  0.2852 seconds
Process 19: Worker Time:  took  0.2612 seconds
Process 18: Worker Time:  took  0.2876 seconds
Process 21: Worker Time:  took  0.2827 seconds
Process 22: Worker Time:  took  0.2856 seconds
Process 20: Worker Time:  took  0.2925 seconds
Process 23: Worker Time:  took  0.2793 seconds
Process 27: Worker Time:  took  0.3325 seconds
Process 25: Worker Time:  took  0.3076 seconds
Process 28: Worker Time:  took  0.3433 seconds
Process 26: Worker Time:  took  0.3350 seconds
Process 31: Worker Time:  took  0.3374 seconds
Process 29: Worker Time:  took  0.3228 seconds
Process 30: Worker Time:  took  0.3394 seconds
Process 24: Worker Time:  took  0.3511 seconds
Process 0: Allocation   took  0.1313 seconds
Process 0: Conversion   took  0.2329 seconds
Process 1: Conversion   took  0.2368 seconds
Process 2: Conversion   took  0.2407 seconds
Process 3: Conversion   took  0.2329 seconds
Process 4: Conversion   took  0.2788 seconds
Process 5: Conversion   took  0.2651 seconds
Process 6: Conversion   took  0.2734 seconds
Process 7: Conversion   took  0.2700 seconds
Process 8: Conversion   took  0.2993 seconds
Process 9: Conversion   took  0.2656 seconds
Process 10: Conversion   took  0.2681 seconds
Process 11: Conversion   took  0.2422 seconds
Process 12: Conversion   took  0.2881 seconds
Process 13: Conversion   took  0.2734 seconds
Process 14: Conversion   took  0.2808 seconds
Process 15: Conversion   took  0.2773 seconds
Process 16: Conversion   took  0.3672 seconds
Process 17: Conversion   took  0.2852 seconds
Process 18: Conversion   took  0.2876 seconds
Process 19: Conversion   took  0.2612 seconds
Process 20: Conversion   took  0.2925 seconds
Process 21: Conversion   took  0.2827 seconds
Process 22: Conversion   took  0.2856 seconds
Process 23: Conversion   took  0.2793 seconds
Process 24: Conversion   took  0.3511 seconds
Process 25: Conversion   took  0.3076 seconds
Process 26: Conversion   took  0.3350 seconds
Process 27: Conversion   took  0.3325 seconds
Process 28: Conversion   took  0.3433 seconds
Process 29: Conversion   took  0.3228 seconds
Process 30: Conversion   took  0.3394 seconds
Process 31: Conversion   took  0.3374 seconds
Process 0: Sum of All   took  9.0029 seconds
Process 0: Conversion Time - Wall clock took  0.5410 seconds
Process 0: Deallocation took  0.0078 seconds
Result: 40000000 = 17276457 (0s) + 22723543 (1s)


Process 1: Worker Time:  took  0.2441 seconds
Process 2: Worker Time:  took  0.2632 seconds
Process 5: Worker Time:  took  0.2378 seconds
Process 8: Worker Time:  took  0.2925 seconds
Process 3: Worker Time:  took  0.2603 seconds
Process 4: Worker Time:  took  0.2729 seconds
Process 6: Worker Time:  took  0.2646 seconds
Process 7: Worker Time:  took  0.2617 seconds
Process 9: Worker Time:  took  0.2642 seconds
Process 10: Worker Time:  took  0.2705 seconds
Process 11: Worker Time:  took  0.2661 seconds
Process 13: Worker Time:  took  0.2700 seconds
Process 17: Worker Time:  took  0.2573 seconds
Process 15: Worker Time:  took  0.2754 seconds
Process 14: Worker Time:  took  0.2778 seconds
Process 12: Worker Time:  took  0.2822 seconds
Process 18: Worker Time:  took  0.2598 seconds
Process 19: Worker Time:  took  0.2456 seconds
Process 16: Worker Time:  took  0.3618 seconds
Process 23: Worker Time:  took  0.2476 seconds
Process 22: Worker Time:  took  0.2690 seconds
Process 21: Worker Time:  took  0.2661 seconds
Process 26: Worker Time:  took  0.3232 seconds
Process 25: Worker Time:  took  0.3159 seconds
Process 27: Worker Time:  took  0.3213 seconds
Process 28: Worker Time:  took  0.3389 seconds
Process 24: Worker Time:  took  0.3467 seconds
Process 29: Worker Time:  took  0.3208 seconds
Process 30: Worker Time:  took  0.3345 seconds
Process 31: Worker Time:  took  0.3320 seconds
Process 0: Allocation   took  0.1309 seconds
Process 0: Conversion   took  0.2290 seconds
Process 1: Conversion   took  0.2441 seconds
Process 2: Conversion   took  0.2632 seconds
Process 3: Conversion   took  0.2603 seconds
Process 4: Conversion   took  0.2729 seconds
Process 5: Conversion   took  0.2378 seconds
Process 6: Conversion   took  0.2646 seconds
Process 7: Conversion   took  0.2617 seconds
Process 8: Conversion   took  0.2925 seconds
Process 9: Conversion   took  0.2642 seconds
Process 10: Conversion   took  0.2705 seconds
Process 11: Conversion   took  0.2661 seconds
Process 12: Conversion   took  0.2822 seconds
Process 13: Conversion   took  0.2700 seconds
Process 14: Conversion   took  0.2778 seconds
Process 15: Conversion   took  0.2754 seconds
Process 16: Conversion   took  0.3618 seconds
Process 17: Conversion   took  0.2573 seconds
Process 18: Conversion   took  0.2598 seconds
Process 19: Conversion   took  0.2456 seconds
Process 20: Conversion   took  0.2744 seconds
Process 21: Conversion   took  0.2661 seconds
Process 22: Conversion   took  0.2690 seconds
Process 23: Conversion   took  0.2476 seconds
Process 24: Conversion   took  0.3467 seconds
Process 25: Conversion   took  0.3159 seconds
Process 26: Conversion   took  0.3232 seconds
Process 27: Conversion   took  0.3213 seconds
Process 28: Conversion   took  0.3389 seconds
Process 29: Conversion   took  0.3208 seconds
Process 30: Conversion   took  0.3345 seconds
Process 31: Conversion   took  0.3320 seconds
Process 0: Sum of All   took  8.8184 seconds
Process 0: Conversion Time - Wall clock took  0.5366 seconds
Process 0: Deallocation took  0.0078 seconds
Result: 40000000 = 17276457 (0s) + 22723543 (1s)
Process 20: Worker Time:  took  0.2744 seconds


