

**************  RUNNING N = 16 THREADS WITH n = 40000000  **************

Process 0: Deallocation took  0.0083 seconds
Result: 40000000 = 17276457 (0s) + 22723543 (1s)


Process 4: Worker Time:  took  0.3706 seconds
Process 2: Worker Time:  took  0.3452 seconds
Process 1: Worker Time:  took  0.3311 seconds
Process 6: Worker Time:  took  0.3618 seconds
Process 3: Worker Time:  took  0.3403 seconds
Process 5: Worker Time:  took  0.3521 seconds
Process 7: Worker Time:  took  0.3569 seconds
Process 9: Worker Time:  took  0.3696 seconds
Process 8: Worker Time:  took  0.4038 seconds
Process 10: Worker Time:  took  0.3740 seconds
Process 14: Worker Time:  took  0.3789 seconds
Process 11: Worker Time:  took  0.3301 seconds
Process 12: Worker Time:  took  0.3867 seconds
Process 13: Worker Time:  took  0.3750 seconds
Process 0: Allocation   took  0.1304 seconds
Process 0: Conversion   took  0.2715 seconds
Process 1: Conversion   took  0.3311 seconds
Process 2: Conversion   took  0.3452 seconds
Process 3: Conversion   took  0.3403 seconds
Process 4: Conversion   took  0.3706 seconds
Process 5: Conversion   took  0.3521 seconds
Process 6: Conversion   took  0.3618 seconds
Process 7: Conversion   took  0.3569 seconds
Process 8: Conversion   took  0.4038 seconds
Process 9: Conversion   took  0.3696 seconds
Process 10: Conversion   took  0.3740 seconds
Process 11: Conversion   took  0.3301 seconds
Process 12: Conversion   took  0.3867 seconds
Process 13: Conversion   took  0.3750 seconds
Process 14: Conversion   took  0.3789 seconds
Process 15: Conversion   took  0.3604 seconds
Process 0: Sum of All   took  5.4365 seconds
Process 0: Conversion Time - Wall clock took  0.5806 seconds
Process 0: Deallocation took  0.0073 seconds
Result: 40000000 = 17276457 (0s) + 22723543 (1s)
Process 15: Worker Time:  took  0.3604 seconds


